NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA,Date,Rate
Sunset Park,Brooklyn,803,9,No,2024-05-31,5000001,24040,340.17,Corner,M3-1,,,,,,2.0,48080,104,2024-05-31,5.25
Concourse Village,The Bronx,2423,"19, 18",Yes,2024-05-30,1700000,5001,66.66,Interior,R7-1,,,,,,3.44,17203,70,2024-05-30,5.25
Pelham Bay,The Bronx,4197,30,No,2024-05-30,2400000,6782,77.08,Interior,R7-1,,,,,,4.0,27128,86,2024-05-30,5.25
East Flatbush,Brooklyn,4603,33,No,2024-05-30,2325000,17142,140.0,Interior,C8-2,,R6,,,,2.0,34284,146,2024-05-30,5.25
Windsor Terrace,Brooklyn,5264,"24, 123",Yes,2024-05-30,5000000,9750,35.0,Interior,R5,,,,,,1.25,12188,197,2024-05-30,5.25
Bushwick,Brooklyn,3398,55,No,2024-05-30,1200000,3883,38.83,Interior,R6,,,,,,2.2,8406,202,2024-05-30,5.25
Westchester Village,The Bronx,3963,1,No,2024-05-29,6092000,19414,251.9,Corner,R6,,C1-4,,,,3.0,71935,85,2024-05-29,5.25
Woodside,Queens,2327,"71, 70, 68, 1",Yes,2024-05-29,10000000,6434,175.72,Corner,R5,,,,,,1.25,8043,137,2024-05-29,5.25
Old Astoria,Queens,884,"57, 58, 55",Yes,2024-05-29,1100000,11485,112.62,Interior,R7X, R7B,C2-3,,,,,47437,211,2024-05-29,5.25
Forest Hills,Queens,3168,"3, 1",Yes,2024-05-28,1950000,6000,160.0,Corner,R7-1,,,,,,4.0,24000,81,2024-05-28,5.25
Corona,Queens,1957,"2, 3",Yes,2024-05-28,1625000,4000,40.0,Interior,R6B,,,,,,2.0,7904,206,2024-05-28,5.25
Morrisania,The Bronx,2389,28,No,2024-05-24,4900000,3896,133.91,Corner,R7-1 ,,C2-4,,,,4.0,15584,79,2024-05-24,5.25
Prospect Park South,Brooklyn,5114,"1, 3, 29",Yes,2024-05-24,9600000,19083,223.62,Corner,R6A ,,C2-4,,,,3.0,57245,168,2024-05-24,5.25
Greenwich Village,Manhattan,593,"48, 47",Yes,2024-05-24,1225000,1612,39.92,Interior,R6,,,,,,2.2,3546,1382,2024-05-24,5.25
Ocean Hill,Brooklyn,1553,18,No,2024-05-23,11500000,15000,250.0,Corner,M1-4/R7D,,,,"EC-5, MX-16 ",MIH,5.6,83976,137,2024-05-23,5.25
Sheepshead Bay,Brooklyn,7367,"11, 10",Yes,2024-05-23,24371125,36000,360.0,Interior,R6A,,C2-4,,,MIH,3.6,129600,188,2024-05-23,5.25
Bedford-Stuyvesant,Brooklyn,1589,32,No,2024-05-23,3620000,8500,85.0,Interior,R6B,,,,,,2.0,17000,213,2024-05-23,5.25
Morris Heights,The Bronx,2876,90,No,2024-05-22,2000000,5648,56.27,Interior,R7-1,,,,,,4.0,22451,89,2024-05-22,5.25
Rosedale,Queens,13204,97,No,2024-05-17,2850000,20295,349.03,Corner,R2,,C1-3,,,,0.5,10148,281,2024-05-17,5.25
Theatre District - Times Square,Manhattan,1025,51,No,2024-05-15,21000000,5020,50.0,Interior,C6-7 ,,,,MID,,15.0,75300,279,2024-05-15,5.25
Brownsville,Brooklyn,3603,42,No,2024-05-10,6000000,14000,140.0,Interior,M1-4/R6A ,,,,MX-19,MIH,3.6,41323,145,2024-05-10,5.25
Unionport,The Bronx,3672,20,No,2024-05-09,4250000,32131,531.28,Corner,R8 ,,C2-4,,,MIH,7.2,231343,50,2024-05-09,5.25
Mott Haven,The Bronx,2600,"51, 50, 49",Yes,2024-05-09,4000000,11909,273.05,Corner,R7X ,,,,,MIH,6.0,71454,59,2024-05-09,5.25
Mott Haven,The Bronx,2579,28,No,2024-05-09,4250000,5075,50.0,Interior,R7-1,,,,,,3.44,36004,111,2024-05-09,5.25
Williamsburg,Brooklyn,2228,25,No,2024-05-09,11671489,6216,137.42,Corner,C8-2,,,,,,2.0,12432,342,2024-05-09,5.25
East New York,Brooklyn,3967,"38, 37",Yes,2024-05-07,2500000,5000,150.0,Corner,R6A,,C2-4,,,MIH,3.6,13857,123,2024-05-07,5.25
Bushwick,Brooklyn,3165,"21, 22",Yes,2024-05-07,1700000,5000,50.0,Interior,R6,,,,,,2.2,11000,227,2024-05-07,5.25
Sheepshead Bay,Brooklyn,7462,45,No,2024-05-07,8000000,9736,203.23,Corner,C4-2,,,,,,3.4,33102,242,2024-05-07,5.25
Fordham,The Bronx,3022,54,No,2024-05-03,3594000,11607,143.1,Through,R7-1,,,,,,3.44,55817,64,2024-05-03,5.25
Mott Haven,The Bronx,2333,33,No,2024-05-03,15000000,21229,285.0,Corner,M1-4/R7A ,,,,MX-13,VIH,3.45,97518,154,2024-05-03,5.25
