,,PRICE,PRICE,PRICE,PPZFA,PPZFA,PPZFA,Rate
,,count,sum,mean,mean,median,std,mean
The Bronx,Fairmont Claremont Village,2,3350000,1675000.0,56.0,56.0,4.24,0.75
The Bronx,Fieldston,1,4940200,4940200.0,124.0,124.0,,0.25
The Bronx,Fordham,19,96992729,5104880.47,88.16,80.0,40.81,1.89
The Bronx,Fordham Heights,1,5000000,5000000.0,96.0,96.0,,2.5
The Bronx,Fordham Manor,1,2775000,2775000.0,29.0,29.0,,2.5
The Bronx,Foxhurst,7,38177744,5453963.43,62.29,73.0,17.63,0.68
The Bronx,Harding Park,1,5250000,5250000.0,162.0,162.0,,2.0
The Bronx,Highbridge,12,194539552,16211629.33,90.08,89.0,28.31,1.33
The Bronx,Hunts Point,12,80130000,6677500.0,112.33,113.0,26.48,2.04
The Bronx,Jerome Park,5,12507935,2501587.0,69.0,67.0,26.07,1.9
The Bronx,Kingsbridge,5,14865000,2973000.0,147.4,108.0,117.61,2.35
The Bronx,Kingsbridge Heights,5,18725000,3745000.0,75.8,76.0,11.78,3.05
The Bronx,Laconia,1,2088888,2088888.0,81.0,81.0,,0.25
The Bronx,Longwood,4,19525000,4881250.0,80.75,79.5,18.87,2.75
The Bronx,Melrose,7,28074618,4010659.71,87.43,65.0,50.13,3.68
The Bronx,Morris Heights,4,40051526,10012881.5,100.0,87.0,37.47,3.19
The Bronx,Morris Park,1,6500000,6500000.0,111.0,111.0,,0.25
The Bronx,Morrisania,13,113810000,8754615.38,99.77,81.0,71.09,4.31
The Bronx,Mott Haven,28,476004863,17000173.68,124.61,122.5,54.22,2.22
The Bronx,Mount Eden,9,86716249,9635138.78,91.89,85.0,30.64,2.33
The Bronx,Mount Hope,11,144923818,13174892.55,81.82,79.0,29.61,2.18
The Bronx,North Riverdale,3,22150000,7383333.33,145.0,145.0,12.0,3.58
The Bronx,Norwood,9,55895000,6210555.56,100.33,95.0,58.96,1.33
The Bronx,Olinville,2,18166054,9083027.0,43.0,43.0,14.14,3.88
The Bronx,Parkchester,2,10570000,5285000.0,102.5,102.5,45.96,1.25
The Bronx,Pelham Bay,4,18595000,4648750.0,87.75,90.5,9.5,4.0
The Bronx,Port Morris,11,201791000,18344636.36,116.27,121.0,35.38,2.0
The Bronx,Riverdale,1,6500000,6500000.0,100.0,100.0,,0.25
The Bronx,Soundview,5,47459314,9491862.8,90.6,61.0,58.65,2.35
The Bronx,Tremont,9,53063995,5895999.44,80.11,76.0,36.81,1.69
The Bronx,Unionport,2,72250000,36125000.0,34.0,34.0,22.63,3.5
The Bronx,University Heights,7,85423375,12203339.29,57.14,58.0,15.32,2.43
The Bronx,Wakefield,9,317609883,35289987.0,84.89,75.0,37.89,2.67
The Bronx,West Bronx,3,8940000,2980000.0,97.67,103.0,13.8,2.17
The Bronx,West Farms,8,46997432,5874679.0,76.88,72.5,36.96,1.75
The Bronx,Westchester Square,1,2000000,2000000.0,124.0,124.0,,0.25
The Bronx,Westchester Village,7,37967000,5423857.14,108.29,110.0,38.63,1.79
The Bronx,Williamsbridge,9,50406219,5600691.0,90.33,77.0,56.03,2.42
The Bronx,Woodlawn,2,20650000,10325000.0,143.0,143.0,100.41,3.5
The Bronx,Woodstock,5,18300000,3660000.0,93.8,84.0,49.93,5.1
